id,identifiant_si,application,role,date_attribution,date_revocation
29,SI_MAT0013,SEMAFORE,consultant,2026-03-20 00:00:00.000000,
30,SI_MAT0013,ANNUAIRE_AD,administrateur,2026-02-10 00:00:00.000000,
31,SI_MAT0013,SI_PAIE,gestionnaire,2026-03-18 00:00:00.000000,
32,SI_MAT0014,PORTAIL_RH,consultant,2022-07-13 00:00:00.000000,
33,SI_MAT0014,SI_PAIE,consultant,2022-05-18 00:00:00.000000,
34,SI_MAT0015,ANNUAIRE_AD,administrateur,2020-11-22 00:00:00.000000,
35,SI_MAT0016,SI_PAIE,administrateur,2019-11-10 00:00:00.000000,
36,SI_MAT0017,SEMAFORE,consultant,2016-05-24 00:00:00.000000,
37,SI_MAT0017,ANNUAIRE_AD,lecture,2016-05-11 00:00:00.000000,
38,SI_MAT0018,PORTAIL_RH,lecture,2018-10-19 00:00:00.000000,
39,SI_MAT0018,PORTAIL_RH,administrateur,2018-09-21 00:00:00.000000,
40,SI_MAT0019,PORTAIL_RH,lecture,2020-06-25 00:00:00.000000,
41,SI_MAT0019,SEMAFORE,administrateur,2020-08-31 00:00:00.000000,
42,SI_MAT0020,SI_PAIE,gestionnaire,2025-08-19 00:00:00.000000,
43,SI_MAT0020,ANNUAIRE_AD,consultant,2025-08-01 00:00:00.000000,
44,SI_MAT0020,ANNUAIRE_AD,consultant,2025-10-03 00:00:00.000000,
45,SI_MAT0021,PORTAIL_RH,lecture,2018-11-15 00:00:00.000000,
46,SI_MAT0021,SEMAFORE,lecture,2018-10-25 00:00:00.000000,
47,SI_MAT0021,SEMAFORE,administrateur,2018-10-22 00:00:00.000000,
48,SI_MAT0022,SI_PAIE,gestionnaire,2019-02-07 00:00:00.000000,
49,SI_MAT0023,ANNUAIRE_AD,lecture,2024-10-03 00:00:00.000000,
50,SI_MAT0023,ANNUAIRE_AD,gestionnaire,2024-11-22 00:00:00.000000,
51,SI_MAT0023,ANNUAIRE_AD,administrateur,2024-10-19 00:00:00.000000,
52,SI_MAT0024,SI_PAIE,gestionnaire,2019-05-18 00:00:00.000000,
53,SI_MAT0024,PORTAIL_RH,administrateur,2019-04-07 00:00:00.000000,
54,SI_MAT0024,SI_PAIE,gestionnaire,2019-05-18 00:00:00.000000,
55,SI_MAT0025,SEMAFORE,administrateur,2018-11-18 00:00:00.000000,
56,SI_MAT0026,PORTAIL_RH,consultant,2020-12-16 00:00:00.000000,
57,SI_MAT0026,PORTAIL_RH,lecture,2020-12-23 00:00:00.000000,
58,SI_MAT0026,SEMAFORE,gestionnaire,2020-12-02 00:00:00.000000,
59,SI_MAT0027,SI_PAIE,consultant,2024-12-29 00:00:00.000000,
60,SI_MAT0027,SI_PAIE,administrateur,2024-11-27 00:00:00.000000,
61,SI_MAT0027,SI_PAIE,gestionnaire,2025-01-29 00:00:00.000000,
62,SI_MAT0028,PORTAIL_RH,administrateur,2023-08-08 00:00:00.000000,
63,SI_MAT0028,PORTAIL_RH,lecture,2023-07-31 00:00:00.000000,
64,SI_MAT0028,SEMAFORE,lecture,2023-07-03 00:00:00.000000,
65,SI_MAT0029,ANNUAIRE_AD,administrateur,2021-10-31 00:00:00.000000,
66,SI_MAT0030,PORTAIL_RH,administrateur,2024-03-02 00:00:00.000000,
67,SI_MAT0030,ANNUAIRE_AD,consultant,2024-02-22 00:00:00.000000,
68,SI_MAT0030,PORTAIL_RH,gestionnaire,2024-05-03 00:00:00.000000,
69,SI_MAT0031,ANNUAIRE_AD,administrateur,2024-12-28 00:00:00.000000,
70,SI_MAT0031,SEMAFORE,administrateur,2024-12-18 00:00:00.000000,
71,SI_MAT0031,PORTAIL_RH,gestionnaire,2024-11-14 00:00:00.000000,
72,SI_MAT0032,SEMAFORE,consultant,2015-12-21 00:00:00.000000,
73,SI_MAT0032,ANNUAIRE_AD,administrateur,2015-11-24 00:00:00.000000,
74,SI_MAT0033,SEMAFORE,gestionnaire,2019-08-29 00:00:00.000000,
75,SI_MAT0034,PORTAIL_RH,gestionnaire,2016-02-06 00:00:00.000000,
76,SI_MAT0034,PORTAIL_RH,lecture,2016-04-13 00:00:00.000000,
77,SI_MAT0034,ANNUAIRE_AD,lecture,2016-03-12 00:00:00.000000,
78,SI_MAT0035,SEMAFORE,lecture,2015-12-28 00:00:00.000000,
79,SI_MAT0035,PORTAIL_RH,administrateur,2016-03-02 00:00:00.000000,
80,SI_MAT0035,SEMAFORE,consultant,2016-02-04 00:00:00.000000,
81,SI_MAT0036,SI_PAIE,gestionnaire,2015-11-13 00:00:00.000000,
82,SI_MAT0037,ANNUAIRE_AD,gestionnaire,2016-12-31 00:00:00.000000,
83,SI_MAT0037,SEMAFORE,gestionnaire,2017-01-20 00:00:00.000000,
84,SI_MAT0038,PORTAIL_RH,administrateur,2023-10-23 00:00:00.000000,
85,SI_MAT0038,ANNUAIRE_AD,lecture,2023-07-31 00:00:00.000000,
86,SI_MAT0039,SEMAFORE,consultant,2023-08-18 00:00:00.000000,
87,SI_MAT0040,ANNUAIRE_AD,lecture,2017-01-06 00:00:00.000000,
88,SI_MAT0040,SEMAFORE,consultant,2017-03-15 00:00:00.000000,
89,SI_MAT0040,SI_PAIE,administrateur,2017-02-05 00:00:00.000000,
90,SI_MAT0041,SEMAFORE,lecture,2023-03-22 00:00:00.000000,
91,SI_MAT0042,SI_PAIE,gestionnaire,2025-02-12 00:00:00.000000,
92,SI_MAT0042,ANNUAIRE_AD,administrateur,2025-03-09 00:00:00.000000,
93,SI_MAT0043,ANNUAIRE_AD,administrateur,2024-11-23 00:00:00.000000,
94,SI_MAT0043,ANNUAIRE_AD,gestionnaire,2024-10-16 00:00:00.000000,
95,SI_MAT0043,PORTAIL_RH,consultant,2024-10-27 00:00:00.000000,
96,SI_MAT0044,ANNUAIRE_AD,consultant,2021-01-22 00:00:00.000000,
97,SI_MAT0044,ANNUAIRE_AD,administrateur,2021-02-08 00:00:00.000000,
98,SI_MAT0044,PORTAIL_RH,administrateur,2021-01-31 00:00:00.000000,
99,SI_MAT0045,SI_PAIE,gestionnaire,2019-11-08 00:00:00.000000,
100,SI_MAT0045,SI_PAIE,lecture,2020-01-04 00:00:00.000000,
101,SI_MAT0046,SEMAFORE,gestionnaire,2020-09-22 00:00:00.000000,
102,SI_MAT0046,PORTAIL_RH,gestionnaire,2020-10-15 00:00:00.000000,
103,SI_MAT0047,SEMAFORE,lecture,2015-04-19 00:00:00.000000,
104,SI_MAT0047,SEMAFORE,gestionnaire,2015-02-08 00:00:00.000000,
105,SI_MAT0048,ANNUAIRE_AD,gestionnaire,2022-11-23 00:00:00.000000,
106,SI_MAT0049,PORTAIL_RH,lecture,2022-05-02 00:00:00.000000,
107,SI_MAT0050,SI_PAIE,gestionnaire,2017-06-27 00:00:00.000000,
108,SI_MAT0051,SEMAFORE,administrateur,2017-12-05 00:00:00.000000,
109,SI_MAT0052,SEMAFORE,lecture,2022-07-31 00:00:00.000000,
110,SI_MAT0052,SEMAFORE,consultant,2022-08-03 00:00:00.000000,
111,SI_MAT0053,ANNUAIRE_AD,gestionnaire,2019-01-04 00:00:00.000000,
112,SI_MAT0054,ANNUAIRE_AD,consultant,2018-10-20 00:00:00.000000,
113,SI_MAT0055,SEMAFORE,consultant,2015-04-12 00:00:00.000000,
114,SI_MAT0055,SI_PAIE,consultant,2015-04-14 00:00:00.000000,
115,SI_MAT0056,PORTAIL_RH,lecture,2015-12-13 00:00:00.000000,
116,SI_MAT0056,SI_PAIE,administrateur,2016-02-24 00:00:00.000000,
117,SI_MAT0056,SEMAFORE,administrateur,2015-12-24 00:00:00.000000,
118,SI_MAT0057,PORTAIL_RH,gestionnaire,2018-03-08 00:00:00.000000,
119,SI_MAT0057,ANNUAIRE_AD,lecture,2018-01-31 00:00:00.000000,
120,SI_MAT0057,SI_PAIE,lecture,2017-12-07 00:00:00.000000,
121,SI_MAT0058,SEMAFORE,gestionnaire,2016-10-27 00:00:00.000000,
122,SI_MAT0058,SI_PAIE,consultant,2016-09-23 00:00:00.000000,
123,SI_MAT0058,ANNUAIRE_AD,administrateur,2016-09-19 00:00:00.000000,
124,SI_MAT0059,ANNUAIRE_AD,gestionnaire,2021-01-23 00:00:00.000000,
125,SI_MAT0059,SEMAFORE,lecture,2020-11-24 00:00:00.000000,
126,SI_MAT0060,PORTAIL_RH,consultant,2024-11-20 00:00:00.000000,
127,SI_MAT0060,PORTAIL_RH,consultant,2024-12-09 00:00:00.000000,
128,SI_MAT0061,ANNUAIRE_AD,gestionnaire,2015-06-17 00:00:00.000000,
129,SI_MAT0061,PORTAIL_RH,gestionnaire,2015-07-04 00:00:00.000000,
130,SI_MAT0062,SI_PAIE,gestionnaire,2021-07-23 00:00:00.000000,
131,SI_MAT0063,SI_PAIE,gestionnaire,2024-07-19 00:00:00.000000,
132,SI_MAT0064,SI_PAIE,lecture,2019-05-20 00:00:00.000000,
133,SI_MAT0064,PORTAIL_RH,gestionnaire,2019-06-08 00:00:00.000000,
134,SI_MAT0065,SEMAFORE,gestionnaire,2026-02-16 00:00:00.000000,
135,SI_MAT0065,SEMAFORE,consultant,2026-01-16 00:00:00.000000,
136,SI_MAT0066,SEMAFORE,lecture,2020-05-09 00:00:00.000000,
137,SI_MAT0066,SI_PAIE,gestionnaire,2020-04-10 00:00:00.000000,
138,SI_MAT0066,SI_PAIE,gestionnaire,2020-03-09 00:00:00.000000,
139,SI_MAT0067,PORTAIL_RH,administrateur,2022-09-05 00:00:00.000000,
140,SI_MAT0067,SI_PAIE,administrateur,2022-09-23 00:00:00.000000,
141,SI_MAT0068,SI_PAIE,consultant,2022-05-09 00:00:00.000000,
142,SI_MAT0068,SEMAFORE,gestionnaire,2022-05-30 00:00:00.000000,
143,SI_MAT0069,SI_PAIE,administrateur,2022-04-21 00:00:00.000000,
144,SI_MAT0069,SI_PAIE,consultant,2022-05-11 00:00:00.000000,
145,SI_MAT0070,SI_PAIE,gestionnaire,2022-11-03 00:00:00.000000,
146,SI_MAT0070,ANNUAIRE_AD,consultant,2022-09-26 00:00:00.000000,
147,SI_MAT0070,PORTAIL_RH,administrateur,2022-09-09 00:00:00.000000,
148,SI_MAT0071,SI_PAIE,administrateur,2015-06-11 00:00:00.000000,
149,SI_MAT0071,SI_PAIE,administrateur,2015-06-06 00:00:00.000000,
150,SI_MAT0071,SEMAFORE,consultant,2015-06-11 00:00:00.000000,
151,SI_MAT0072,ANNUAIRE_AD,consultant,2022-11-18 00:00:00.000000,
152,SI_MAT0073,SI_PAIE,gestionnaire,2018-12-18 00:00:00.000000,
153,SI_MAT0074,ANNUAIRE_AD,gestionnaire,2015-03-29 00:00:00.000000,
154,SI_MAT0074,PORTAIL_RH,gestionnaire,2015-04-23 00:00:00.000000,
155,SI_MAT0075,SEMAFORE,administrateur,2016-01-27 00:00:00.000000,
156,SI_MAT0076,SEMAFORE,consultant,2016-03-16 00:00:00.000000,
157,SI_MAT0076,PORTAIL_RH,gestionnaire,2016-04-14 00:00:00.000000,
158,SI_MAT0076,SI_PAIE,gestionnaire,2016-04-16 00:00:00.000000,
159,SI_MAT0077,PORTAIL_RH,consultant,2016-12-02 00:00:00.000000,
160,SI_MAT0077,SI_PAIE,lecture,2017-01-12 00:00:00.000000,
161,SI_MAT0077,PORTAIL_RH,consultant,2016-12-06 00:00:00.000000,
162,SI_MAT0078,PORTAIL_RH,gestionnaire,2016-09-23 00:00:00.000000,
163,SI_MAT0078,SI_PAIE,lecture,2016-12-21 00:00:00.000000,
164,SI_MAT0079,SEMAFORE,consultant,2020-10-13 00:00:00.000000,
165,SI_MAT0080,ANNUAIRE_AD,gestionnaire,2021-05-16 00:00:00.000000,
166,SI_MAT0080,ANNUAIRE_AD,consultant,2021-05-20 00:00:00.000000,
167,SI_MAT0080,ANNUAIRE_AD,administrateur,2021-05-17 00:00:00.000000,
168,SI_MAT0081,PORTAIL_RH,gestionnaire,2017-06-28 00:00:00.000000,
169,SI_MAT0081,SI_PAIE,consultant,2017-06-16 00:00:00.000000,
170,SI_MAT0082,ANNUAIRE_AD,gestionnaire,2021-12-20 00:00:00.000000,
171,SI_MAT0082,ANNUAIRE_AD,administrateur,2021-12-29 00:00:00.000000,
172,SI_MAT0083,SI_PAIE,administrateur,2024-10-10 00:00:00.000000,
173,SI_MAT0084,SEMAFORE,gestionnaire,2016-11-12 00:00:00.000000,
174,SI_MAT0084,SEMAFORE,gestionnaire,2016-12-03 00:00:00.000000,
175,SI_MAT0084,SEMAFORE,gestionnaire,2016-11-10 00:00:00.000000,
176,SI_MAT0085,PORTAIL_RH,lecture,2018-09-09 00:00:00.000000,
177,SI_MAT0086,PORTAIL_RH,gestionnaire,2024-01-08 00:00:00.000000,
178,SI_MAT0086,SEMAFORE,lecture,2023-11-13 00:00:00.000000,
179,SI_MAT0086,PORTAIL_RH,gestionnaire,2023-12-26 00:00:00.000000,
180,SI_MAT0087,SEMAFORE,lecture,2025-02-23 00:00:00.000000,
181,SI_MAT0087,PORTAIL_RH,administrateur,2025-01-19 00:00:00.000000,
182,SI_MAT0087,SEMAFORE,consultant,2025-01-02 00:00:00.000000,
183,SI_MAT0088,PORTAIL_RH,gestionnaire,2025-11-22 00:00:00.000000,
184,SI_MAT0088,ANNUAIRE_AD,administrateur,2026-01-08 00:00:00.000000,
185,SI_MAT0089,SI_PAIE,administrateur,2024-04-02 00:00:00.000000,
186,SI_MAT0090,PORTAIL_RH,gestionnaire,2026-02-11 00:00:00.000000,
187,SI_MAT0091,PORTAIL_RH,gestionnaire,2019-01-16 00:00:00.000000,
188,SI_MAT0091,PORTAIL_RH,consultant,2018-12-20 00:00:00.000000,
189,SI_MAT0091,SI_PAIE,consultant,2019-02-11 00:00:00.000000,
190,SI_MAT0092,PORTAIL_RH,administrateur,2025-12-14 00:00:00.000000,
191,SI_MAT0092,SI_PAIE,consultant,2025-12-31 00:00:00.000000,
192,SI_MAT0093,PORTAIL_RH,gestionnaire,2025-06-21 00:00:00.000000,
193,SI_MAT0093,SI_PAIE,lecture,2025-07-07 00:00:00.000000,
194,SI_MAT0093,PORTAIL_RH,lecture,2025-06-09 00:00:00.000000,
195,SI_MAT0094,ANNUAIRE_AD,gestionnaire,2018-06-07 00:00:00.000000,
196,SI_MAT0094,SI_PAIE,lecture,2018-06-14 00:00:00.000000,
197,SI_MAT0094,SEMAFORE,administrateur,2018-06-22 00:00:00.000000,
198,SI_MAT0095,PORTAIL_RH,gestionnaire,2021-05-11 00:00:00.000000,
199,SI_MAT0095,PORTAIL_RH,consultant,2021-04-15 00:00:00.000000,
200,SI_MAT0095,PORTAIL_RH,administrateur,2021-04-16 00:00:00.000000,
201,SI_MAT0001,SEMAFORE,lecture,2026-08-08 08:53:44.864093,
202,SI_MAT0001,SEMAFORE,lecture,2026-08-08 08:53:44.864093,
